variavel,coef,se,t_z,pvalue
Intercept,-0.2796773753918393,1.312367450754594,-0.2131090459695785,0.8329701931335365
vantagem2016_c,-0.10121379231279279,0.10669061342917253,-0.9486663264897659,0.3518713708967889
delta_competicao_log_c,-32.90685604982302,4.628307308447253,-7.10991164950603,1.881473718989413e-07
vantagem2016_c:delta_competicao_log_c,-0.7999756343753041,0.26307284475330395,-3.0408901957382932,0.0054719940604729825
