modelo,comp_col,N,coef_interacao,se,pvalue
FULL_log_clusterUF,delta_competicao_log_c,139,-0.7999756343753041,0.26307284475330395,0.0054719940604729825
FULL_log_HC1,delta_competicao_log_c,139,-0.7999756343753041,0.2972985453469514,0.008028799451388933
FULL_diff_clusterUF,delta_competicao_diff_c,139,-0.464991273172397,0.11238523985660961,0.0003478171869710772
FULL_diff_HC1,delta_competicao_diff_c,139,-0.464991273172397,0.12234663172191261,0.00021760842274159856
TOP5_log_clusterUF,delta_competicao_log_c,130,-0.686090323856001,0.30851037549749394,0.035421826865956345
TOP5_log_HC1,delta_competicao_log_c,130,-0.686090323856001,0.32370737940747313,0.036012166635006296
TOP5_diff_clusterUF,delta_competicao_diff_c,130,-0.4508985840290588,0.1340702699450363,0.0024844005938106047
TOP5_diff_HC1,delta_competicao_diff_c,130,-0.4508985840290588,0.1520921598184688,0.0036251454747374292
