Município;Estado;Nome do Incumbente;Nome do Principal Adversário em 2016;Nome do Principal Adversário em 2020;População;ln_pop;Faixa de População;Região do País;Gênero;reeleito;Partido;Número efetivo de candidatos de 2020;Número efetivo de candidatos de 2016;delta_nec (2020-2016);Votos válidos 2016;Abstenção 2016;Eleitores 2016;Voto do Incumbente em 2016;Voto do Principal Adversário de 2016;% do eleitorado do Incumbente 2016;% do eleitorado do P, Adversário 2016;Vantagem do Incumbente no primeiro turno 2016;Votos válidos 2020;Abstenção 2020;Eleitores 2020;Voto do Incumbente em 2020;Voto do Principal Adversário de 2020;% do eleitorado do Incumbente 2020;% do eleitorado do P, Adversário 2020;Vantagem do Incumbente no primeiro turno 2020;delta_vantagem (2020-2016);Atividade com maior valor adicionado bruto;Produto Interno Bruto per capita,  a preços correntes (R$ 1,00);Durante o período da pandemia do COVID-19 foi necessário manter pessoas por mais de 24 horas em unidades sem internação;Foi instalado hospital de campanha durante a pandemia da COVID-19 no município;Houve a instalação de tendas de triagem para o combate da COVID-19, no município;Local (público ou privado) com condições de realizar testes PCR ou sorológicos em pacientes suspeitos de COVID-19 - existência;Nos casos de internação por COVID-19, houve necessidade de referenciar o(s) paciente(s) para outro município;O número de internações ultrapassou a capacidade de leitos e de unidades de tratamento intensivo (UTI) públicos ou privados con;O número de leitos foi ampliado para atender à demanda por internação no município em virtude da COVID-19;Serviço de atendimento de emergência - Serviço público municipal;Vigilância epidemiológica;Obrigatoriedade de máscara;Dias da eleição - Máscara;Dias da eleição - Máscara (Normalizado);;Início da restrição ao comércio;Dias da eleição - Restrição ao comércio;Dias da eleição - Restrição ao comércio (Normalizado);;IFDM 2016;IFDM Saúde 2016;IFDM Emprego 2016;IFDM 2020;IFDM Saúde 2020;IFDM Emprego 2020;delta_firjan_geral_16_20;piora_geral_16_20;delta_firjan_saude_16_20;piora_saude_16_20;delta_firjan_emprego_16_20;piora_emprego_16_20
Autazes;AM;ANDRESON CAVALCANTE;THOMÉ;THOMÉ NETO;41.005;11;4 - 20001 até 50000;1 - Norte;MASCULINO;1;PSC;3,030903612;2,574249797;0,456653815;21767;2073;23840;9729;8163;41;34;7;22.322;4043;26365;9101;7461;35;28;6;0;Administração, defesa, educação e saúde públicas e seguridade social;11.092,32;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;20/04/2020;209;0,817142857;DECRETO 016;21/03/2020;239;0,943181818;https://bncamazonas,com,br/municipios/autazes-comercio-bares-igrejas/;0,2443;0,3264;0,2347;0,2751;0,3012;0,2776;0,0308;0;-0,0252;1;0,0429;0
Itacoatiara;AM;PEIXOTO;MAMOUD AMED FILHO;MÁRIO ABRAHIM;104.046;12;6 - 100001 até 500000;1 - Norte;MASCULINO;0;PT;3,925829032;2,893255684;1,032573348;52779;9564;62343;22284;18560;36;30;6;53.003;14267;67270;8113;19810;12;29;-17;-23;Demais serviços;22.140,55;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;27/04/2020;202;0,777142857;Decreto nº 0893;23/03/2020;237;0,920454545;DECRETO 42101;0,3413;0,3172;0,413;0,4225;0,4175;0,4065;0,0812;0;0,1003;0;-0,0065;1
Labrea;AM;GEAN BARROS;EVALDO GOMES;JOÃO ROBERTO;47.685;11;4 - 20001 até 50000;1 - Norte;MASCULINO;1;MDB;1,699995963;1,683259775;0,016736188;17075;6156;23231;11390;4498;49;19;30;19.481;5960;25441;13778;2600;54;10;44;14;Administração, defesa, educação e saúde públicas e seguridade social;11.856,93;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;15/05/2020;184;0,674285714;https://www,amazonastur,am,gov,br/governo-do-amazonas-estende-restricoes-ate-31-de-maio-obriga-uso-de-mascara-e-multa-a-quem-descumprir-decreto%EF%BB%BF/;12/06/2020;156;0;DECRETO No 665/2020 – GPML;0,2771;0,321;0,2661;0,3305;0,3388;0,2825;0,0534;0;0,0178;0;0,0164;0
Parintins;AM;BI GARCIA;MARCIA BARANDA;JUSCELINO MANSO;116.439;12;6 - 100001 até 500000;1 - Norte;MASCULINO;1;DEM;1,860876487;2,11146476;-0,250588272;50678;13368;64046;30970;12773;48;20;28;52.202;17381;69583;32778;16262;47;23;24;-5;Administração, defesa, educação e saúde públicas e seguridade social;11.448,73;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;13/04/2020;216;0,857142857;DECRETO 027;20/03/2020;240;0,954545455;DECRETO Nº017/2020 - PGMP;0,3295;0,2867;0,3054;0,4102;0,3848;0,3085;0,0807;0;0,0981;0;0,0031;0
Sao gabriel da cachoeira;AM;CLOVIS  CURUBÃO;EDINHO GONÇALVES;CLAUDIO PONTES;47.031;11;4 - 20001 até 50000;1 - Norte;MASCULINO;1;PT;2,904980977;5,54780193;-2,642820953;20371;8385;28756;4649;2642;16;9;7;22.938;8247;31185;11197;6001;36;19;17;10;Administração, defesa, educação e saúde públicas e seguridade social;8.133,70;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;08/05/2020;191;0,714285714;DECRETO 20;20/04/2020;209;0,602272727;DECRETO Nº 13 DE 20 DE ABRIL DE 2020;0,2259;0,213;0,2921;0,2686;0,2301;0,3284;0,0427;0;0,0171;0;0,0363;0
Laranjal do jari;AP;MÁRCIO SERRÃO;SERGINHO 14;AYRTON NOBRE;52.302;11;5 - 50001 até 100000;1 - Norte;MASCULINO;1;DEM;3,543519167;3,543519167;0;22408;5310;27718;6849;6091;25;22;3;20.668;7704;28372;13111;4000;46;14;32;29;Administração, defesa, educação e saúde públicas e seguridade social;20.142,52;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;27/04/2020;202;0,777142857;DECRETO 148/2020;20/03/2020;240;0,954545455;https://g1,globo,com/ap/amapa/noticia/2020/03/19/coronavirus-governo-do-amapa-decide-suspender-atividades-para-limitar-circulacao-de-pessoas,ghtml;0,268;0,2141;0,3085;0,3408;0,3385;0,3371;0,0728;0;0,1244;0;0,0286;0
Oiapoque;AP;MARIA ORLANDA;ARTUR DO AREAL;BRENO DO MIGUEL DO POSTO;28.534;10;4 - 20001 até 50000;1 - Norte;FEMININO;0;PSDB;5,053983122;3,27912866;1,774854462;12797;5464;18261;4834;3507;26;19;7;12.067;7480;19547;2959;2962;15;15;0;-7;Administração, defesa, educação e saúde públicas e seguridade social;17.494,76;Sim;Não;Sim;Sim;Sim;Não;Não;Não;Sim;20/04/2020;209;0,817142857;DECRETO N°262;08/04/2020;221;0,738636364;DECRETO N°237;0,2607;0,2696;0,2891;0,2814;0,2248;0,3609;0,0207;0;-0,0448;1;0,0718;0
Pedra branca do amapari;AP;BETH PELAES;IRMÃO WILSON;IRMÃO WILSON;17.625;10;3 - 10001 até 20000;1 - Norte;FEMININO;1;DEM;2,349719576;3,629464601;-1,279745025;6906;1410;8316;2159;2062;26;25;1;7.546;4192;11738;1992;2000;17;17;0;-1;Administração, defesa, educação e saúde públicas e seguridade social;27.493,88;Sim;Não;Sim;Sim;Sim;Não;Não;Não;Sim;23/04/2020;206;0,8;DECRETO Nº 160/2020;20/03/2020;240;0,954545455;https://g1,globo,com/ap/amapa/noticia/2020/03/19/coronavirus-governo-do-amapa-decide-suspender-atividades-para-limitar-circulacao-de-pessoas,ghtml;0,302;0,1967;0,5188;0,4491;0,4096;0,5978;0,1471;0;0,2129;0;0,079;0
Porto grande;AP;BESSA;TONHO;ELIELSON MORAES;22.927;10;4 - 20001 até 50000;1 - Norte;MASCULINO;1;PDT;4,350743156;3,962016402;0,388726754;10984;2191;13175;3402;2600;26;20;6;10.240;3441;13681;3306;2662;24;19;5;-1;Administração, defesa, educação e saúde públicas e seguridade social;16.993,05;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;18/04/2020;211;0,828571429;Decreto Nº 1539 DE 18/04/2020;20/03/2020;240;0,954545455;https://g1,globo,com/ap/amapa/noticia/2020/03/19/coronavirus-governo-do-amapa-decide-suspender-atividades-para-limitar-circulacao-de-pessoas,ghtml;0,3132;0,1622;0,4617;0,3736;0,2681;0,4146;0,0604;0;0,1059;0;-0,0471;1
Tartarugalzinho;AP;RILDO OLIVEIRA;ALMIR REZENDE;BRUNO MINEIRO;18.217;10;3 - 10001 até 20000;1 - Norte;MASCULINO;0;MDB;2,559336655;2,542653109;0,016683546;7479;1035;8514;3984;1929;47;23;24;8.021;1706;9727;3176;3567;33;37;-4;-28;Administração, defesa, educação e saúde públicas e seguridade social;13.849,97;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;22/04/2020;207;0,805714286;DECRETO Nº063 DE 22 DE ABRIL DE 2020,;29/04/2020;200;0,5;DECRETO 068;0,3271;0,4036;0,2934;0,3391;0,409;0,3062;0,012;0;0,0054;0;0,0128;0
Alagoinhas;BA;JOAQUIM NETO;SONIA FONTES;PAULO CEZAR;153.023;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;PSD;3,0876289;3,939936468;-0,852307568;85710;8467;94177;25684;18890;27;20;7;82.869;24066;106935;28268;27015;26;25;1;-6;Demais serviços;29.241,79;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;20/04/2020;209;0,817142857;DECRETO 5266/2020;23/03/2020;237;0,920454545;DECRETO 5245/2020;0,4193;0,4236;0,5644;0,4695;0,5236;0,6046;0,0502;0;0,1;0;0,0402;0
