,dy/dx,Std. Err.,z,Pr(>|z|),Conf. Int. Low,Cont. Int. Hi.
Gestao_Index_c,0.05881482590093306,0.2729221845241852,0.21550034858277026,0.8293772403175376,-0.47610282634846485,0.5937324781503309
delta_abstencao_pp_c,0.011910093949783549,0.008466952354731942,1.4066565454484141,0.1595292570496436,-0.00468482772430766,0.02850501562387476
Gestao_Index_c:delta_abstencao_pp_c,-0.03971600728203408,0.05379049052572473,-0.7383462558877452,0.46030406460607554,-0.14514343142319755,0.0657114168591294
