Município;Estado;Nome do Incumbente;Nome do Principal Adversário em 2016;Nome do Principal Adversário em 2020;População;ln_pop;Faixa de População;Região do País;Gênero;reeleito;Partido;Número efetivo de candidatos de 2020;Número efetivo de candidatos de 2016;delta_nec (2020-2016);Votos válidos 2016;Abstenção 2016;Eleitores 2016;Voto do Incumbente em 2016;Voto do Principal Adversário de 2016;% do eleitorado do Incumbente 2016;% do eleitorado do P, Adversário 2016;Vantagem do Incumbente no primeiro turno 2016;Votos válidos 2020;Abstenção 2020;Eleitores 2020;Voto do Incumbente em 2020;Voto do Principal Adversário de 2020;% do eleitorado do Incumbente 2020;% do eleitorado do P, Adversário 2020;Vantagem do Incumbente no primeiro turno 2020;delta_vantagem (2020-2016);Atividade com maior valor adicionado bruto;Produto Interno Bruto per capita,  a preços correntes (R$ 1,00);Durante o período da pandemia do COVID-19 foi necessário manter pessoas por mais de 24 horas em unidades sem internação;Foi instalado hospital de campanha durante a pandemia da COVID-19 no município;Houve a instalação de tendas de triagem para o combate da COVID-19, no município;Local (público ou privado) com condições de realizar testes PCR ou sorológicos em pacientes suspeitos de COVID-19 - existência;Nos casos de internação por COVID-19, houve necessidade de referenciar o(s) paciente(s) para outro município;O número de internações ultrapassou a capacidade de leitos e de unidades de tratamento intensivo (UTI) públicos ou privados con;O número de leitos foi ampliado para atender à demanda por internação no município em virtude da COVID-19;Serviço de atendimento de emergência - Serviço público municipal;Vigilância epidemiológica;Obrigatoriedade de máscara;Dias da eleição - Máscara;Dias da eleição - Máscara (Normalizado);Início da restrição ao comércio;Dias da eleição - Restrição ao comércio;Dias da eleição - Restrição ao comércio (Normalizado);IFDM 2016;IFDM Saúde 2016;IFDM Emprego 2016;IFDM 2020;IFDM Saúde 2020;IFDM Emprego 2020;delta_firjan_geral_16_20;piora_geral_16_20;delta_firjan_saude_16_20;piora_saude_16_20;delta_firjan_emprego_16_20;piora_emprego_16_20;tx_abstencao_2016;tx_abstencao_2020;delta_abstencao_pp;NEC_2016_calc;NEC_2020_calc;delta_competicao_diff;delta_competicao_log;Gestao_Index;Gestao_Index_c;delta_abstencao_pp_c;delta_competicao_diff_c;delta_competicao_log_c;vantagem2016_c;UF;Populacao;VD1_Reeleito;VD2_DeltaVantagem;mask_27A
Uruguaiana;RS;RONNIE MELLO;SCHNEIDER;DELEGADO EPIFÂNIO;126.766;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PP;1,764945086;2,137933456;-0,37298837;67035;23215;90250;28305;9783;31;11;21;57.925;28655;86580;40409;10568;47;12;34;14;Demais serviços;22.387,44;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;10/05/2020;189;0,702857143;19/03/2020;241;0,965909091;0,5637;0,5352;0,6644;0,5892;0,5739;0,6391;0,0255;0;0,0387;0;-0,0253;1;0.2572299168975069;0.330965580965581;7.373566406807408;2.137933456;1.764945086;-0.37298836999999985;-0.1917201105497641;0.8098237477142858;0.05309833027646449;1.9383706287942104;-0.26744473795683443;-0.1448448058982883;9.848920863309353;RS;126766;1;14;True
Itajai;SC;VOLNEI MORASTONI;ANNA CAROLINA;ROBISON COELHO;226.617;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;MDB;2,304165474;2,954759072;-0,650593597;117462;25669;143131;38613;27824;27;19;8;113.680;34104;147784;49888;46734;34;32;2;-5;Comércio e reparação de veículos automotores e motocicletas;148.284,92;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;07/05/2020;192;0,72;23/03/2020;237;0,920454545;0,749;0,6935;0,8762;0,781;0,7367;0,9029;0,032;0;0,0432;0;0,0267;0;0.17933920674067813;0.23076923076923078;5.143002402855265;2.954759072;2.304165474;-0.6505935979999999;-0.2486985546488268;0.8057792207142856;0.04905380327646436;-0.2921933751579324;-0.5450499659568345;-0.201823249997351;-3.1510791366906474;SC;226617;1;-5;True
Jaragua do sul;SC;ANTIDIO LUNELLI;IVO KONELL;LEANDRO SCHMOCKEL;184.579;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;MDB;1,708427533;2,903720424;-1,195292891;96690;17659;114349;37957;24953;33;22;11;89.476;24747;114223;56476;23455;49;21;29;18;Indústrias de transformação;55.108,89;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;13/04/2020;216;0,857142857;23/03/2020;237;0,920454545;0,7788;0,719;0,8759;0,8141;0,7776;0,933;0,0353;0;0,0586;0;0,0571;0;0.154430733981058;0.2166551395078049;6.222440552674691;2.903720424;1.708427533;-1.1952928909999998;-0.5304194434963293;0.5396567717142857;-0.21706864572353557;0.7872447746614935;-1.0897492589568343;-0.4835441388448535;-0.15107913669064743;SC;184579;1;18;True
Lages;SC;ANTONIO CERON;MARCIUS MACHADO;CARMEN ZANOTTO;157.158;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PSD;3,196637098;2,963309633;0,233327465;100952;21124;122076;35242;30525;29;25;4;88.828;34173;123001;28329;28273;23;23;0;-4;Demais serviços;37.369,21;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;13/04/2020;216;0,857142857;23/03/2020;237;0,920454545;0,6711;0,576;0,8379;0,7191;0,6293;0,8546;0,048;0;0,0533;0;0,0167;0;0.17303974573216685;0.27782700953650785;10.4787263804341;2.963309633;3.196637098;0.2333274649999999;0.07579258737791664;0.8253710574285715;0.06864563999075024;5.043530602420903;0.3388710970431653;0.12266789202939243;-7.151079136690647;SC;157158;1;-4;True
Sao bento do sul;SC;MAGNO BOLLMANN;TOMAZINI;TOMAZINI;86.317;11;5 - 50001 até 100000;4 - Sul;MASCULINO;0;PP;3,376742979;2,953936132;0,422806847;51125;9288;60413;18048;17903;30;30;0;46.917;14755;61672;10985;17288;18;28;-10;-10;Indústrias de transformação;42.665,85;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;15/07/2020;123;0,325714286;24/03/2020;236;0,909090909;0,7793;0,6785;0,9023;0,8241;0,7252;0,9744;0,0448;0;0,0467;0;0,0721;0;0.15374174432655224;0.2392495784148398;8.550783408828755;2.953936132;3.376742979;0.42280684699999993;0.13377306621601817;0.4621150278571429;-0.29461038958067837;3.1155876308155577;0.5283504790431653;0.18064837086749397;-11.151079136690647;SC;86317;0;-10;True
Tubarao;SC;JOARES PONTICELLI;CARLOS STÜPP;DR CRISTIANO;107.143;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PP;1,994433329;3,078777333;-1,084344004;63975;12082;76057;26555;15930;35;21;14;56.842;21652;78494;35023;10898;45;14;31;17;Demais serviços;37.995,67;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;26/06/2020;142;0,434285714;18/03/2020;242;0,977272727;0,7652;0,6975;0,8931;0,8023;0,7782;0,9305;0,0371;0;0,0807;0;0,0374;0;0.15885454330304902;0.2758427395724514;11.69881962694024;3.078777333;1.994433329;-1.084344004;-0.43417258398772124;0.6302226344285715;-0.12650278300924978;6.263623848927043;-0.9788003719568347;-0.38729727933624547;2.8489208633093526;SC;107143;1;17;True
Boquim;SE;ERALDO DE CABEÇA DANTAS;JEAN  CARLOS;PEDRO BARBOSA;26.980;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;PP;2,196425692;1,947200963;0,249224729;17522;2675;20197;9612;6894;48;34;13;16.825;4055;20880;8804;6183;42;30;13;-1;Administração, defesa, educação e saúde públicas e seguridade social;11.285,12;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;29/04/2020;200;0,765714286;21/03/2020;239;0,943181818;0,444;0,5768;0,3717;0,4623;0,5437;0,3779;0,0183;0;-0,0331;1;0,0062;0;0.13244541268505222;0.19420498084291188;6.175956815785966;1.947200963;2.196425692;0.24922472900000003;0.12043841586977003;0.6726994434285715;-0.08402597400924983;0.7407610377727689;0.35476836104316545;0.16731372052124582;1.8489208633093526;SE;26980;1;-1;True
Itabaianinha;SE;DANILO DE JOALDO;ALAN VIEIRA;PROFESSOR GLEINYSON;42.399;11;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;DEM;1,994363941;3,106888211;-1,11252427;24353;3273;27626;8465;7068;31;26;5;25.166;4477;29643;12481;11221;42;38;4;-1;Administração, defesa, educação e saúde públicas e seguridade social;11.173,80;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;08/05/2020;191;0,714285714;24/03/2020;236;0,909090909;0,3784;0,5334;0,3814;0,4238;0,4814;0,3673;0,0454;0;-0,052;1;-0,0141;1;0.11847534930862232;0.1510305974429039;3.255524813428158;3.106888211;1.994363941;-1.1125242699999998;-0.4432964771010033;0.6604823747142856;-0.09624304272353568;-2.179670964585039;-1.0069806379568342;-0.39642117244952746;-6.151079136690647;SE;42399;1;-1;True
Nossa senhora do socorro;SE;PADRE INALDO;DR, SAMUEL;DR, SAMUEL;187.733;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;PP;3,54293029;1,666900868;1,876029422;88234;12200;100434;35190;12276;35;12;23;92.072;17046;109118;27042;24018;25;22;3;-20;Administração, defesa, educação e saúde públicas e seguridade social;14.937,02;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;29/04/2020;200;0,765714286;19/03/2020;241;0,965909091;0,371;0,3632;0,4922;0,4182;0,3534;0,4779;0,0472;0;-0,0098;1;-0,0143;1;0.12147280801322262;0.15621620630876665;3.474339829554403;1.666900868;3.54293029;1.8760294220000002;0.7539880155795896;0.9616604824285714;0.2049350649907501;-1.9608559484587942;1.9815730540431657;0.8008633202310654;11.848920863309353;SE;187733;1;-20;True
Porto da folha;SE;MIGUEL DE DR MARCOS;DEMAR;VANDA DE DR JULIO;28.788;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;PSD;1,849687933;3,155931922;-1,30624399;18727;2843;21570;7522;5180;35;24;11;18.785;3796;22581;11689;5017;52;22;30;19;Administração, defesa, educação e saúde públicas e seguridade social;10.866,51;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;27/04/2020;202;0,777142857;24/03/2020;236;0,909090909;0,3581;0,5765;0,2778;0,3343;0,4252;0,2595;-0,0238;1;-0,1513;1;-0,0183;1;0.13180343069077421;0.16810592976396085;3.630249907318664;3.155931922;1.849687933;-1.3062439890000002;-0.5342668917785754;0.8123191094285714;0.05559369199075015;-1.8049458706945334;-1.2007003569568346;-0.4873915871270996;-0.15107913669064743;SE;28788;1;19;True
