Município;Estado;Nome do Incumbente;Nome do Principal Adversário em 2016;Nome do Principal Adversário em 2020;População;ln_pop;Faixa de População;Região do País;Gênero;reeleito;Partido;Número efetivo de candidatos de 2020;Número efetivo de candidatos de 2016;delta_nec (2020-2016);Votos válidos 2016;Abstenção 2016;Eleitores 2016;Voto do Incumbente em 2016;Voto do Principal Adversário de 2016;% do eleitorado do Incumbente 2016;% do eleitorado do P, Adversário 2016;Vantagem do Incumbente no primeiro turno 2016;Votos válidos 2020;Abstenção 2020;Eleitores 2020;Voto do Incumbente em 2020;Voto do Principal Adversário de 2020;% do eleitorado do Incumbente 2020;% do eleitorado do P, Adversário 2020;Vantagem do Incumbente no primeiro turno 2020;delta_vantagem (2020-2016);Atividade com maior valor adicionado bruto;Produto Interno Bruto per capita,  a preços correntes (R$ 1,00);Durante o período da pandemia do COVID-19 foi necessário manter pessoas por mais de 24 horas em unidades sem internação;Foi instalado hospital de campanha durante a pandemia da COVID-19 no município;Houve a instalação de tendas de triagem para o combate da COVID-19, no município;Local (público ou privado) com condições de realizar testes PCR ou sorológicos em pacientes suspeitos de COVID-19 - existência;Nos casos de internação por COVID-19, houve necessidade de referenciar o(s) paciente(s) para outro município;O número de internações ultrapassou a capacidade de leitos e de unidades de tratamento intensivo (UTI) públicos ou privados con;O número de leitos foi ampliado para atender à demanda por internação no município em virtude da COVID-19;Serviço de atendimento de emergência - Serviço público municipal;Vigilância epidemiológica;Obrigatoriedade de máscara;Dias da eleição - Máscara;Dias da eleição - Máscara (Normalizado);Início da restrição ao comércio;Dias da eleição - Restrição ao comércio;Dias da eleição - Restrição ao comércio (Normalizado);IFDM 2016;IFDM Saúde 2016;IFDM Emprego 2016;IFDM 2020;IFDM Saúde 2020;IFDM Emprego 2020;delta_firjan_geral_16_20;piora_geral_16_20;delta_firjan_saude_16_20;piora_saude_16_20;delta_firjan_emprego_16_20;piora_emprego_16_20;tx_abstencao_2016;tx_abstencao_2020;delta_abstencao_pp;NEC_2016_calc;NEC_2020_calc;delta_competicao_diff;delta_competicao_log;Gestao_Index;Gestao_Index_c;delta_abstencao_pp_c;delta_competicao_diff_c;delta_competicao_log_c;vantagem2016_c;UF;Populacao;VD1_Reeleito;VD2_DeltaVantagem;mask_27A
Tobias barreto;SE;DIÓGENES ALMEIDA;CESAR PRADO;DILSON DE AGRIPINO;52.861;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;MDB;2,271468636;2,048794039;0,222674597;31869;4604;36473;14872;14415;41;40;1;32.109;6778;38887;14047;14458;36;37;-1;-2;Administração, defesa, educação e saúde públicas e seguridade social;11.576,62;Sim;Não;Sim;Sim;Sim;Não;Não;Não;Sim;27/04/2020;202;0,777142857;24/03/2020;236;0,909090909;0,3506;0,3909;0,3893;0,421;0,5139;0,4003;0,0704;0;0,123;0;0,011;0;0.12623036218572642;0.1742998945663075;4.806953238058109;2.048794039;2.271468636;0.2226745969999997;0.1031752521149409;0.5266048237142857;-0.23012059372353555;-0.6282425399550879;0.3282182290431651;0.1500505567664167;-10.151079136690647;SE;52861;0;-2;True
Barueri;SP;RUBENS FURLAN;SAULO GOES;MARI TAVELLI;279.704;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSDB;1,363209619;1,366964059;-0,00375444;200800;44227;245027;143250;19122;58;8;51;196.045;65383;261428;145377;9965;56;4;52;1;Demais serviços;185.046,58;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;04/05/2020;195;0,737142857;23/03/2020;237;0,920454545;0,7795;0,7516;0,9018;0,8304;0,8044;0,9271;0,0509;0;0,0528;0;0,0253;0;0.18049847567819058;0.2500994537692979;6.96009780911073;1.366964059;1.363209619;-0.0037544400000000255;-0.002750332256811768;0.8082282002857143;0.051502782847893;1.5249020310975325;0.10178919204316542;0.04412497239466403;39.84892086330935;SP;279704;1;1;True
Bauru;SP;GAZZETTA;RAUL;SUÉLLEN ROSIM;381.706;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;0;PSDB;3,797054933;3,06473185;0,732323083;204156;59307;263463;78349;52668;30;20;10;188.276;82473;270749;14264;57844;5;21;-16;-26;Demais serviços;40.021,97;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;20/03/2020;240;0,954545455;0,755;0,6916;0,8852;0,8154;0,769;0,9213;0,0604;0;0,0774;0;0,0361;0;0.22510561255280628;0.30461054334457377;7.9504930791767485;3.06473185;3.797054933;0.7323230830000003;0.21426567082352704;0.9657513915714285;0.20902597413360724;2.5152973011635513;0.8378667150431657;0.2611409754750028;-1.1510791366906474;SP;381706;0;-26;True
Carapicuiba;SP;MARCOS NEVES;PROFESSORA SÔNIA;PROFESSORA SÔNIA;405.375;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSDB;1,780582832;2,144235067;-0,363652235;227232;57561;284793;102287;67794;36;24;12;208.176;82962;291138;128773;21085;44;7;37;25;Demais serviços;15.437,46;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;30/04/2020;199;0,76;21/03/2020;239;0,943181818;0,5598;0,5462;0,5524;0,5984;0,5586;0,5415;0,0386;0;0,0124;0;-0,0109;1;0.20211522052859446;0.2849576489499825;8.284242842138804;2.144235067;1.780582832;-0.363652235;-0.18584213224040338;0.6718831168571429;-0.08484230058067843;2.8490470641256067;-0.2581086029568346;-0.1389668275889276;0.8489208633093526;SP;405375;1;25;True
Franca;SP;GILSON DE SOUZA;SIDNEI FRANCO DA ROCHA;FLÁVIA LANCHA;358.539;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;0;DEM;5,738917833;3,297367967;2,441549866;184127;47779;231906;34976;69902;15;30;-15;168.300;69824;238124;9664;35338;4;15;-11;4;Demais serviços;27.839,58;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;04/05/2020;195;0,737142857;20/03/2020;240;0,954545455;0,6997;0,5836;0,7873;0,7383;0,6611;0,7721;0,0386;0;0,0775;0;-0,0152;1;0.20602744215328625;0.2932253783742924;8.719793622100616;3.297367967;5.738917833;2.4415498660000003;0.5541460972469551;0.8130983302857143;0.05637291284789303;3.2845978440874184;2.5470934980431656;0.6010214018984309;-26.151079136690647;SP;358539;0;4;True
Guarulhos;SP;GUTI;ELI CORREA FILHO;ELÓI PIETÁ;1.404.694;14;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PSD;2,949102366;4,463099691;-1,513997325;746500;156310;902810;208591;135134;23;15;8;700.764;172116;872880;261211;184502;30;21;9;1;Demais serviços;47.301,43;Sim;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;19/03/2020;241;1;21/04/2020;208;0,590909091;0,6832;0,602;0,8237;0,7341;0,6444;0,8314;0,0509;0;0,0424;0;0,0077;0;0.1731372049489926;0.1971817431949409;2.4044538245948295;4.463099691;2.949102366;-1.513997325;-0.414342681278293;0.7987012987142857;0.041975881276464455;-3.0307419534183677;-1.4084536929568345;-0.36746737662681717;-3.1510791366906474;SP;1404694;1;1;True
Jundiai;SP;LUIZ FERNANDO MACHADO;PEDRO BIGARDI;PEDRO BIGARDI;426.935;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSDB;2,01801993;2,935141909;-0,917121979;241046;49232;290278;94388;53576;33;18;14;228.515;86360;314875;134793;11026;43;4;39;25;Demais serviços;121.121,33;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Sim;04/05/2020;195;0,737142857;20/03/2020;240;0,954545455;0,7829;0,7715;0,8341;0,8165;0,7932;0,8715;0,0336;0;0,0217;0;0,0374;0;0.16960293236139148;0.27426756649464074;10.466463413324925;2.935141909;2.01801993;-0.917121979;-0.37463900470984557;0.8130983302857143;0.05637291284789303;5.031267635311728;-0.8115783469568346;-0.32776370005836974;2.8489208633093526;SP;426935;1;25;True
Limeira;SP;MARIO BOTION;MURILO FELIX;MURILO FELIX;310.783;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSD;4,700248242;3,009621414;1,690626828;168245;44325;212570;71827;27143;34;13;21;163.294;63333;226627;45248;31402;20;14;6;-15;Demais serviços;44.418,06;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;06/05/2020;193;0,725714286;20/03/2020;240;0,954545455;0,7559;0,68;0,872;0,7828;0,6923;0,8732;0,0269;0;0,0123;0;0,0012;0;0.20851954650232865;0.27945919947755565;7.0939652975227006;3.009621414;4.700248242;1.6906268279999996;0.44580102999745336;0.8114656772857142;0.05474025984789288;1.6587695195095034;1.7961704600431652;0.4926763346489291;9.848920863309353;SP;310783;1;-15;True
Mogi das cruzes;SP;MARCUS MELO;GONDIM;CAIO CUNHA;455.587;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;0;PSDB;3,285381394;1,931078975;1,354302418;240669;56263;296932;129763;64604;44;22;22;230.971;88855;319826;81555;54591;25;17;8;-14;Demais serviços;37.632,19;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;13/05/2020;186;0,685714286;22/03/2020;238;0,931818182;0,7241;0,6771;0,7966;0,7643;0,73;0,7877;0,0402;0;0,0529;0;-0,0089;1;0.1894810933142942;0.2778229412242907;8.83418479099965;1.931078975;3.285381394;1.354302419;0.531403845763329;0.8025046382857142;0.045779220847892876;3.398989012986453;1.4598460510431654;0.5782791504148048;10.848920863309353;SP;455587;0;-14;True
Osasco;SP;ROGÉRIO LINS;LAPAS;DR LINDOSO;701.428;13;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PODE;2,262291334;3,134282804;-0,87199147;444673;121410;566083;109705;107232;19;19;0;407.183;160178;567361;204207;66543;36;12;24;24;Demais serviços;109.025,60;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;04/05/2020;195;0,737142857;20/03/2020;240;0,954545455;0,6502;0,5847;0,7207;0,7209;0,6971;0,728;0,0707;0;0,1124;0;0,0073;0;0.214473849241189;0.2823211324007114;6.784728315952238;3.134282804;2.262291334;-0.8719914700000002;-0.3260222129866028;0.8130983302857143;0.05637291284789303;1.3495325379390408;-0.7664478379568348;-0.279146908335127;-11.151079136690647;SP;701428;1;24;True
Ribeirao preto;SP;DUARTE NOGUEIRA;RICARDO SILVA;SUELY VILELA;720.116;13;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PSDB;3,574115174;3,784171521;-0,210056347;325672;109709;435381;100462;70215;23;16;7;298.508;143337;441845;115724;52266;26;12;14;7;Demais serviços;49.476,86;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;17/04/2020;212;0,834285714;19/03/2020;241;0,965909091;0,7495;0,683;0,9068;0,8132;0,8223;0,9234;0,0637;0;0,1393;0;0,0166;0;0.2519838945659089;0.32440561735450213;7.2421722788593215;3.784171521;3.574115174;-0.2100563470000001;-0.057109336386549046;0.828599257857143;0.07187384041932166;1.8069765008461243;-0.10451271495683465;-0.01023403173507325;-4.151079136690647;SP;720116;1;7;True
Sao bernardo do campo;SP;ORLANDO MORANDO;ALEX MANENTE;LUIZ MARINHO;849.874;14;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PSDB;1,958582115;2,98057938;-1,021997265;489196;122581;611777;169310;106726;28;17;10;455.094;165087;620181;261761;90803;42;15;28;17;Demais serviços;57.566,99;Não;Sim;Não;Sim;Sim;Não;Sim;Sim;Sim;06/05/2020;193;0,725714286;23/03/2020;237;0,920454545;0,6309;0,5613;0,719;0,6997;0,6323;0,7516;0,0688;0;0,071;0;0,0326;0;0.20036876182007496;0.26619164405230084;6.582288223222587;2.98057938;1.958582115;-1.021997265;-0.41989690369808985;0.8065955472857143;0.04987012984789296;1.14709244520939;-0.9164536329568346;-0.373021599046614;-1.1510791366906474;SP;849874;1;17;True
Sao jose do rio preto;SP;EDINHO ARAÚJO;BOLÇONE;CORONEL HELENA;469.173;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;MDB;2,62838815;2,568764078;0,059624073;248340;70127;318467;113377;69857;36;22;14;228.368;104172;332540;111525;55234;34;17;17;3;Demais serviços;40.204,08;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;05/05/2020;194;0,731428571;20/03/2020;240;0,954545455;0,7718;0,7447;0,8672;0,8139;0,7863;0,8808;0,0421;0;0,0416;0;0,0136;0;0.220201779148232;0.3132615625187947;9.305978337056272;2.568764078;2.62838815;0.05962407200000008;0.022945907851201843;0.6694248608571429;-0.08730055658067837;3.870782559043075;0.16516770404316553;0.06982121250267764;2.8489208633093526;SP;469173;1;3;True
Suzano;SP;RODRIGO ASHIUCHI;LACERDA;ISRAEL LACERDA;303.397;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PL;1,446343915;4,004094228;-2,557750313;172180;39671;211851;43983;38936;21;18;2;165.954;52005;217959;110001;8579;50;4;47;44;Indústrias de transformação;42.170,50;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;20/03/2020;240;0,954545455;0,8134;0,8039;0,8942;0,8498;0,8533;0,9099;0,0364;0;0,0494;0;0,0157;0;0.18725896974760564;0.23859992016847206;5.134095042086642;4.004094228;1.446343915;-2.5577503129999997;-1.0182784603193693;0.8228942487142856;0.06616883127646433;-0.3011007359265552;-2.4522066809568344;-0.9714031556678935;-9.151079136690647;SP;303397;1;44;True
Araguatins;TO;CLAUDIO SANTANA;AQUILES DA AREIA;AQUILES DA AREIA;36.573;11;4 - 20001 até 50000;1 - Norte;MASCULINO;0;MDB;2,754090497;3,05395754;-0,299867043;16573;4582;21155;5881;5542;28;26;2;16.513;4035;20548;2712;8231;13;40;-27;-28;Administração, defesa, educação e saúde públicas e seguridade social;12.880,85;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;01/05/2020;198;0,754285714;19/03/2020;241;0,965909091;0,4018;0,3743;0,363;0,4513;0,4964;0,3903;0,0495;0;0,1221;0;0,0273;0;0.21659182226424012;0.19636947634806307;-2.022234591617705;3.05395754;2.754090497;-0.2998670429999999;-0.1033510436519423;0.8171706864285715;0.0604452689907502;-7.457430369630902;-0.19432341095683445;-0.0564757390004665;-9.151079136690647;TO;36573;0;-28;True
Augustinopolis;TO;JULIO OLIVEIRA;CARMEM;ANTÔNIO DO BAR;18.870;10;3 - 10001 até 20000;1 - Norte;MASCULINO;0;SOLIDARIEDADE;2,359853417;1,991487292;0,368366125;9796;2200;11996;4913;4310;41;36;5;9.801;1932;11733;4224;4281;36;36;0;-6;Administração, defesa, educação e saúde públicas e seguridade social;15.615,46;Sim;Não;Não;Sim;Sim;Não;Não;Não;Sim;04/05/2020;195;0,737142857;04/05/2020;195;0,443181818;0,4374;0,5213;0,4033;0,5186;0,631;0,4087;0,0812;0;0,1097;0;0,0054;0;0.1833944648216072;0.1646637688570698;-1.8730695964537414;1.991487292;2.359853417;0.3683661250000001;0.16971776316840198;0.31147495357142857;-0.4452504638663927;-7.308265374466939;0.4739097570431655;0.21659306781987778;-6.151079136690647;TO;18870;0;-6;True
Colinas do tocantins;TO;ADRIANO RABELO;FABRICIO SANTANA;DR KASARIN;36.271;10;4 - 20001 até 50000;1 - Norte;MASCULINO;0;MDB;3,283941346;1,935803088;1,348138258;19553;2104;21657;11407;6892;53;32;21;17.723;4450;22173;5268;6202;24;28;-4;-25;Administração, defesa, educação e saúde públicas e seguridade social;22.179,14;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;05/05/2020;194;0,731428571;24/03/2020;236;0,909090909;0,4959;0,399;0,5009;0,5524;0,4827;0,5588;0,0565;0;0,0837;0;0,0579;0;0.09715103661633652;0.20069453840256168;10.354350178622516;1.935803088;3.283941346;1.3481382580000003;0.5285220579570536;0.8057884971428572;0.04906307970503587;4.919154400609319;1.4536818900431658;0.5753973626085295;9.848920863309353;TO;36271;0;-25;True
Porto nacional;TO;JOAQUIM MAIA;OTONIEL;RONIVON;53.618;11;5 - 50001 até 100000;1 - Norte;MASCULINO;0;MDB;3,040192107;2,028408498;1,011783609;33559;3455;37014;16988;13923;46;38;8;32.899;7420;40319;9497;11294;24;28;-4;-13;Comércio e reparação de veículos automotores e motocicletas;49.193,72;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;05/05/2020;194;0,731428571;22/03/2020;238;0,931818182;0,5407;0,5486;0,5724;0,5693;0,5898;0,5972;0,0286;0;0,0412;0;0,0248;0;0.09334305938293619;0.184032342071976;9.068928268903981;2.028408498;3.040192107;1.011783609;0.4046692120747127;0.8090352504285715;0.052309832990750205;3.633732490890784;1.1173272410431656;0.45154451672618845;-3.1510791366906474;TO;53618;0;-13;True
Taguatinga;TO;MIRANDA TAGUATINGA;LUCIN;PAULO ROBERTO;16.966;10;3 - 10001 até 20000;1 - Norte;MASCULINO;0;PV;2,884664882;2,642070743;0,242594139;8836;1290;10126;2710;1292;27;13;14;7.869;2015;9884;2162;3147;22;32;-10;-24;Administração, defesa, educação e saúde públicas e seguridade social;14.300,16;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;05/05/2020;194;0,731428571;21/03/2020;239;0,943181818;0,3852;0,4944;0,3379;0,3903;0,3894;0,3684;0,0051;0;-0,105;1;0,0305;0;0.12739482520244913;0.2038648320518009;7.647000684935176;2.642070743;2.884664882;0.24259413899999993;0.08784575241346251;0.6678014841428571;-0.08892393329496417;2.211804906921979;0.34813777104316534;0.1347210570649383;2.8489208633093526;TO;16966;0;-24;True
