Município;Estado;Nome do Incumbente;Nome do Principal Adversário em 2016;Nome do Principal Adversário em 2020;População;ln_pop;Faixa de População;Região do País;Gênero;reeleito;Partido;Número efetivo de candidatos de 2020;Número efetivo de candidatos de 2016;delta_nec (2020-2016);Votos válidos 2016;Abstenção 2016;Eleitores 2016;Voto do Incumbente em 2016;Voto do Principal Adversário de 2016;% do eleitorado do Incumbente 2016;% do eleitorado do P, Adversário 2016;Vantagem do Incumbente no primeiro turno 2016;Votos válidos 2020;Abstenção 2020;Eleitores 2020;Voto do Incumbente em 2020;Voto do Principal Adversário de 2020;% do eleitorado do Incumbente 2020;% do eleitorado do P, Adversário 2020;Vantagem do Incumbente no primeiro turno 2020;delta_vantagem (2020-2016);Atividade com maior valor adicionado bruto;Produto Interno Bruto per capita,  a preços correntes (R$ 1,00);Durante o período da pandemia do COVID-19 foi necessário manter pessoas por mais de 24 horas em unidades sem internação;Foi instalado hospital de campanha durante a pandemia da COVID-19 no município;Houve a instalação de tendas de triagem para o combate da COVID-19, no município;Local (público ou privado) com condições de realizar testes PCR ou sorológicos em pacientes suspeitos de COVID-19 - existência;Nos casos de internação por COVID-19, houve necessidade de referenciar o(s) paciente(s) para outro município;O número de internações ultrapassou a capacidade de leitos e de unidades de tratamento intensivo (UTI) públicos ou privados con;O número de leitos foi ampliado para atender à demanda por internação no município em virtude da COVID-19;Serviço de atendimento de emergência - Serviço público municipal;Vigilância epidemiológica;Obrigatoriedade de máscara;Dias da eleição - Máscara;Dias da eleição - Máscara (Normalizado);Início da restrição ao comércio;Dias da eleição - Restrição ao comércio;Dias da eleição - Restrição ao comércio (Normalizado);IFDM 2016;IFDM Saúde 2016;IFDM Emprego 2016;IFDM 2020;IFDM Saúde 2020;IFDM Emprego 2020;delta_firjan_geral_16_20;piora_geral_16_20;delta_firjan_saude_16_20;piora_saude_16_20;delta_firjan_emprego_16_20;piora_emprego_16_20;tx_abstencao_2016;tx_abstencao_2020;delta_abstencao_pp;delta_competicao;delta_abstencao_pp_c;delta_abstencao_pp_z;delta_competicao_c;delta_competicao_z;vantagem2016_c;vantagem2016_z;id_municipio;mask_27A
Sobral;CE;IVO GOMES;MOSES RODRIGUES;OSCAR RODRIGUES;212.437;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;PDT;1.934147984;2.313639695;-0.379491712;120638;10757;131395;57908;45209;44;34;10;121.470;20621;142091;66519;45795;47;32;15;5;Demais serviços;21.343,10;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;30/04/2020;199;0,76;19/03/2020;241;0,965909091;0,6863;0,6995;0,6702;0,7452;0,7218;0,6929;0,0589;0;0,0223;0;0,0227;0;0.08186765097606453;0.1451253070215566;6.325765604549207;-0.379491712;0.8905698265360096;0.18615523413025425;-0.2739480799796043;-0.2527043414998516;-1.1510791366906474;-0.1075244050605995;Sobral - CE;True
Cachoeiro de itapemirim;ES;VICTOR COELHO;JATHIR MOREIRA;DIEGO LIBARDI;212.172;12;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSB;2.986582709;2.408105831;0.578476878;109824;27114;136938;59377;24594;43;18;25;105.624;34814;140438;51926;17299;37;12;25;-1;Demais serviços;25.235,59;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;20/04/2020;209;0,817142857;20/03/2020;240;0,954545455;0,632;0,5943;0,7459;0,7018;0,6833;0,7489;0,0698;0;0,089;0;0,003;0;0.19800201551066907;0.247895868639542;4.9893853128872925;0.578476878;-0.4458104651259047;-0.09318747282964981;0.6840205100203958;0.6309770543745588;13.848920863309353;1.2936529983853378;Cachoeiro de itapemirim - ES;True
Castelo;ES;PIASSI;DOMINGOS FRACAROLI;JOAO PAULO NALI;37.956;11;4 - 20001 até 50000;3 - Sudeste;MASCULINO;0;MDB;4.060716371;4.622936891;-0.56222052;23380;4775;28155;10564;7795;38;28;10;21.969;6898;28867;2029;6690;7;23;-16;-26;Demais serviços;29.086,42;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;04/05/2020;195;0,737142857;21/03/2020;239;0,943181818;0,5945;0,541;0,6697;0,6792;0,6612;0,7367;0,0847;0;0,1202;0;0,067;0;0.1695968744450364;0.23895797970000346;6.936110525496705;-0.56222052;1.5009147474835078;0.3137352377119262;-0.4566768879796043;-0.42126315418483445;-1.1510791366906474;-0.1075244050605995;Castelo - ES;True
Guarapari;ES;EDSON MAGALHÃES;CARLOS VON;CARLOS VON;128.504;12;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSDB;3.656135049;2.477225745;1.178909304;69888;18362;88250;27926;27772;32;31;0;68.436;24175;92611;23068;20453;25;22;3;3;Demais serviços;18.272,89;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;17/04/2020;212;0,834285714;18/03/2020;242;0,977272727;0,5499;0,5524;0,6513;0,605;0,5478;0,6563;0,0551;0;-0,0046;1;0,005;0;0.20806798866855525;0.26103810562460183;5.297011695604659;1.178909304;-0.13818408240853852;-0.02888452926132875;1.2844529360203958;1.1848479953163056;-11.151079136690647;-1.0416426740245577;Guarapari - ES;True
Linhares;ES;GUERINO ZANON;ELIANA;LUCAS SCARAMUSSA;179.755;12;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;MDB;2.54768768;1.76009909;0.78758859;88885;21264;110149;59147;11562;54;10;43;84.316;29836;114152;41581;22162;36;19;17;-26;Demais serviços;37.766,15;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;21/04/2020;208;0,811428571;18/03/2020;242;0,977272727;0,6356;0,5824;0,8128;0,7101;0,6434;0,8459;0,0745;0;0,061;0;0,0331;0;0.19304759916113629;0.2613708038404934;6.83232046793571;0.78758859;1.3971246899225127;0.29204006919177605;0.8931322220203957;0.8238728669124704;31.848920863309353;2.9750658825204623;Linhares - ES;True
Vila velha;ES;MAX FILHO;NEUCIMAR FRAGA;ARNALDINHO BORGO;508.655;13;7 - Maior que 500000;3 - Sudeste;MASCULINO;0;PSDB;4.157709605;3.581891483;0.575818121;251572;65056;316628;80297;65745;25;21;5;235.849;79375;315224;46523;73122;15;23;-8;-13;Demais serviços;25.115,27;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;31/05/2020;168;0,582857143;21/03/2020;239;0,943181818;0,6062;0,601;0,7466;0,6493;0,6579;0,7448;0,0431;0;0,0569;0;-0,0018;1;0.20546508836868502;0.25180506560414184;4.633997723545683;0.575818121;-0.8011980544675144;-0.1674739104896832;0.6813617530203957;0.628524474904233;-6.151079136690647;-0.5745835395425786;Vila velha - ES;True
Aparecida de goiania;GO;GUSTAVO MENDANHA;MARLÚCIO PEREIRA;BRUNO FELIPE;601.844;13;7 - Maior que 500000;5 - Centro-Oeste;MASCULINO;1;MDB;1.024250703;2.272033237;-1.247782534;233088;47760;280848;122122;42966;43;15;28;229.049;79700;308749;197491;6235;64;2;62;34;Demais serviços;25.173,46;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;20/07/2020;118;0,297142857;03/04/2020;226;0,795454545;0,5641;0,5782;0,7395;0,622;0,5999;0,771;0,0579;0;0,0217;0;0,0315;0;0.17005640061527943;0.25813848789793653;8.80820872826571;-1.247782534;3.3730129502525124;0.7050587127131319;-1.1422389019796042;-1.0536621741673078;16.848920863309353;1.5738884790745251;Aparecida de goiania - GO;True
Catalao;GO;ADIB ELIAS;JARDEL SEBBA;ELDER GALDINO;113.091;12;6 - 100001 até 500000;5 - Centro-Oeste;MASCULINO;1;PODE;2.358923461;1.885930003;0.472993459;58930;6412;65342;37561;14631;57;22;35;54.578;16482;71060;28984;14356;41;20;21;-15;Indústrias de transformação;65.498,10;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;19/04/2020;210;0,822857143;17/03/2020;243;0,988636364;0,6321;0,6005;0,7477;0,679;0,6861;0,7776;0,0469;0;0,0856;0;0,0299;0;0.0981298399191944;0.2319448353504081;13.381499543121372;0.472993459;7.9463037651081745;1.661010730194575;0.5785370910203957;0.5336735144500135;23.848920863309353;2.2277712673492958;Catalao - GO;True
Itumbiara;GO;ZÉ ANTÔNIO;ALVARO GUIMARÃES;DIONE DA FAMÓVEIS;106.845;12;6 - 100001 até 500000;5 - Centro-Oeste;MASCULINO;0;REPUBLICANOS;3.759861963;1.903698126;1.856163837;59436;7686;67122;36143;14050;54;21;33;54.084;18120;72204;8054;16640;11;23;-12;-45;Demais serviços;45.096,18;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;19/04/2020;210;0,822857143;20/03/2020;240;0,954545455;0,6642;0,4923;0,8461;0,7102;0,567;0,8453;0,046;0;0,0747;0;-0,0008;1;0.11450791096808796;0.25095562572710656;13.644771475901859;1.856163837;8.209575697888662;1.7160422918154137;1.9617074690203957;1.8095837510927157;21.848920863309353;2.0409476135565043;Itumbiara - GO;True
Rio verde;GO;PAULO DO VALE;HEULER;DR OSVALDO;247.259;12;6 - 100001 até 500000;5 - Centro-Oeste;MASCULINO;1;DEM;2.277057229;2.75376937;-0.476712141;105806;11772;117578;47963;26988;41;23;18;96.573;36236;132809;45580;37402;34;28;6;-12;Demais serviços;49.156,63;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;04/06/2020;164;0,56;06/04/2020;223;0,761363636;0,6225;0,4681;0,8571;0,6758;0,5503;0,8925;0,0533;0;0,0822;0;0,0354;0;0.10012077089251391;0.27284295492022376;17.272218402770985;-0.476712141;11.837022624757788;2.4742851738956877;-0.3711685089796043;-0.34238565809315347;6.848920863309353;0.639770210110567;Rio verde - GO;True
Senador canedo;GO;DIVINO LEMES;ZELIO CANDIDO;FERNANDO PELLOZO;121.447;12;6 - 100001 até 500000;5 - Centro-Oeste;MASCULINO;0;PODE;2.029659384;3.627025354;-1.597365969;56819;8792;65611;11160;9657;17;15;2;62.814;14178;76992;17279;36807;22;48;-25;-28;Indústrias de transformação;32.428,11;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;19/04/2020;210;0,822857143;21/03/2020;239;0,943181818;0,4845;0,443;0,5955;0,5426;0,5275;0,6076;0,0581;0;0,0845;0;0,0121;0;0.1340019204096874;0.1841490024937656;5.01470820840782;-1.597365969;-0.4204875696053776;-0.08789424437746277;-1.4918223369796042;-1.376136607087255;-9.151079136690647;-0.854819020231766;Senador canedo - GO;True
Balsas;MA;DR, ERIK;CHICO COELHO;ZÉ GABRIEL;96.951;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PDT;1.368280698;2.239843369;-0.871562671;48031;4830;52861;23751;17233;45;33;12;47.017;12186;59203;37475;7152;63;12;51;39;Agricultura, inclusive apoio à agricultura e a pós colheita;49.786,61;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;05/05/2020;194;0,731428571;21/03/2020;239;0,943181818;0,3826;0,2213;0,6267;0,5222;0,4823;0,6844;0,1396;0;0,261;0;0,0577;0;0.09137171071300203;0.20583416380926642;11.44624530962644;-0.871562671;6.011049531613242;1.2564857909889817;-0.7660190389796042;-0.7066168773152269;0.8489208633093526;0.07929924873219214;Balsas - MA;True
Caxias;MA;FABIO GENTIL;LEO COUTINHO;ADELMO SOARES;166.159;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;REPUBLICANOS;1.481871429;1.999506279;-0.517634851;83469;6859;90328;39171;37959;43;42;1;84.362;16638;101000;62075;10334;61;10;51;50;Administração, defesa, educação e saúde públicas e seguridade social;11.564,24;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;30/04/2020;199;0,76;22/03/2020;238;0,931818182;0,3809;0,3574;0,406;0,4444;0,4835;0,3896;0,0635;0;0,1261;0;-0,0164;1;0.07593437250907803;0.16473267326732674;8.879830075824872;-0.517634851;3.4446342978116746;0.7200296766132446;-0.41209121897960427;-0.38013495162245764;-10.151079136690647;-0.9482308471281619;Caxias - MA;True
Coroata;MA;LUIS DA AMOVELAR FILHO;TERESA MURAD;EDIMAR FRANCO;65.788;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PT;2.863919066;2.009126249;0.854792817;34191;3585;37776;16624;14718;44;39;5;34.109;8195;42304;13952;10572;33;25;8;3;Administração, defesa, educação e saúde públicas e seguridade social;7.318;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;04/05/2020;195;0,737142857;14/04/2020;215;0,670454545;0,3775;0,45;0,312;0,4632;0,4935;0,3366;0,0857;0;0,0435;0;0,0246;0;0.0949015247776366;0.19371690620272314;9.881538142508655;0.854792817;4.446342364495457;0.9294160651112654;0.9603364490203956;0.8858656355104687;-6.151079136690647;-0.5745835395425786;Coroata - MA;True
Grajau;MA;MERCIAL ARRUDA;SIMONE LIMEIRA;MARINALDO DO GESSO;70.692;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;MDB;2.339617437;2.084021811;0.255595626;38416;8893;47309;20352;14785;43;31;12;36.081;6685;42766;17289;14177;40;33;7;-4;Administração, defesa, educação e saúde públicas e seguridade social;11.911,80;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Sim;20/04/2020;209;0,817142857;21/03/2020;239;0,943181818;0,249;0,1182;0,4609;0,372;0,3004;0,4927;0,123;0;0,1822;0;0,0318;0;0.18797691771121774;0.15631576485993545;-3.166115285128229;0.255595626;-8.601311063141427;-1.7979264815362526;0.3611392580203957;0.3331341413109506;0.8489208633093526;0.07929924873219214;Grajau - MA;True
Tutoia;MA;ROMILDO DO HOSPITAL;ALEXANDRE BAQUIL;DIRINGA;59.927;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;PSDB;3.213864757;2.61001262;0.603852138;29809;9887;39696;14573;7353;37;19;18;29.665;5389;35054;6504;13258;19;38;-19;-37;Administração, defesa, educação e saúde públicas e seguridade social;7.306,30;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;20/04/2020;209;0,817142857;21/03/2020;239;0,943181818;0,2457;0,184;0,3247;0,3431;0,2878;0,3372;0,0974;0;0,1038;0;0,0125;0;0.24906791616283758;0.15373423860329777;-9.53336775595398;0.603852138;-14.968563533967178;-3.1288691422407817;0.7093957700203957;0.6543845495800915;6.848920863309353;0.639770210110567;Tutoia - MA;True
Belo horizonte;MG;KALIL;JOÃO LEITE;BRUNO ENGLER;2.530.701;15;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PSD;2.331870818;4.849016622;-2.517145804;1509919;417537;1927456;314845;395952;16;21;-4;1.392.551;550633;1943184;784307;123215;40;6;34;38;Demais serviços;38.670,40;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;16/04/2020;213;0,84;18/03/2020;242;0,977272727;0,7509;0,744;0,8552;0,781;0,7702;0,8631;0,0301;0;0,0262;0;0,0079;0;0.21662595670147594;0.2833663718927286;6.674041519125268;-2.517145804;1.2388457411120708;0.25895512301938634;-2.4116021719796046;-2.2245906555544757;-15.151079136690647;-1.415289981610141;Belo horizonte - MG;True
Betim;MG;VITTORIO MEDIOLI;IVAIR NOGUEIRA;MARIA DO CARMO;450.024;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSD;1.65010065;2.400273522;-0.750172872;236007;42226;278233;119750;30001;43;11;32;229.695;44807;274502;153144;28906;56;11;45;13;Indústrias de transformação;58.871,28;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;20/03/2020;240;0,994285714;15/04/2020;214;0,659090909;0,651;0,6221;0,7591;0,7006;0,7332;0,7842;0,0496;0;0,1111;0;0,0251;0;0.15176488770203392;0.16323014039970565;1.1465252697671735;-0.750172872;-4.288670508246024;-0.8964580191037653;-0.6446292399796043;-0.5946404428632017;20.848920863309353;1.9475357866601084;Betim - MG;True
Montes claros;MG;HUMBERTO SOUTO;LENINHA;RUY MUNIZ;417.478;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;CIDADANIA;1.361003229;2.488463608;-1.127460379;216973;45523;262496;76595;48834;29;19;11;220.486;58788;279274;177592;15184;64;5;58;48;Demais serviços;23.426,26;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;20/03/2020;240;0,994285714;22/04/2020;207;0,579545455;0,6622;0,6487;0,7026;0,6777;0,7114;0,7404;0,0155;0;0,0627;0;0,0378;0;0.17342359502620994;0.21050294692667415;3.7079351900464212;-1.127460379;-1.727260587966776;-0.36104816217228375;-1.0219167469796042;-0.9426705915674889;-0.15107913669064743;-0.014112578164203679;Montes claros - MG;True
Ribeirao das neves;MG;JUNYNHO MARTINS;ANTONIO CARLOS CANTOR;DELEI;341.415;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;DEM;2.688986502;2.461521749;0.227464753;160709;35424;196133;68656;39167;35;20;15;165.873;48972;214845;72679;35398;34;16;17;2;Administração, defesa, educação e saúde públicas e seguridade social;13.099,23;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;15/04/2020;214;0,845714286;23/03/2020;237;0,920454545;0,4821;0,4961;0,4867;0,5081;0,5078;0,4883;0,026;0;0,0117;0;0,0016;0;0.18061213564265066;0.22794107379738882;4.732893815473815;0.227464753;-0.7023019625393818;-0.14680172443656153;0.33300838502039565;0.3071847214872737;3.8489208633093526;0.3595347294213796;Ribeirao das neves - MG;True
Uberlandia;MG;ODELMO LEÃO;ALEXANDRE ANDRADE;ADRIANO ZAGO;706.597;13;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PP;1.91217319;1.79384549;0.1183277;385705;92545;478250;250390;57807;52;12;40;360.437;126113;486550;228390;39584;47;8;39;-1;Demais serviços;53.828,78;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;18/04/2020;211;0,828571429;20/03/2020;240;0,954545455;0,7515;0,7419;0,8991;0,7853;0,8119;0,9102;0,0338;0;0,07;0;0,0111;0;0.19350757971772087;0.25919843798170794;6.569085826398707;0.1183277;1.1338900483855099;0.2370163025354139;0.22387133202039566;0.2065108744077369;28.848920863309353;2.694830401831275;Uberlandia - MG;True
Amambai;MS;DR BANDEIRA;GILMAR VICENTIN;ZÉ BAMBIL;40.247;11;4 - 20001 até 50000;5 - Centro-Oeste;MASCULINO;1;PSDB;1.902500104;3.351483298;-1.448983195;19092;5453;24545;7221;5203;29;21;8;19.144;6751;25895;11157;7038;43;27;16;8;Administração, defesa, educação e saúde públicas e seguridade social;32.016,94;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;11/05/2020;188;0,697142857;21/03/2020;239;0,943181818;0,3932;0,1634;0,6198;0,5291;0,3581;0,6399;0,1359;0;0,1947;0;0,0201;0;0.22216337339580364;0.26070670013516123;3.854332673935759;-1.448983195;-1.5808631040774381;-0.33044679091821527;-1.3434395629796043;-1.2392604107058713;-3.1510791366906474;-0.29434805885339116;Amambai - MS;True
Aquidauana;MS;ODILON RIBEIRO;PINHEIRO;DRA    VIVIANE ORRO;48.184;11;4 - 20001 até 50000;5 - Centro-Oeste;MASCULINO;1;PSDB;1.712717172;2.030162298;-0.317445126;26084;8352;34436;15061;7594;44;22;22;25.736;9287;35023;17939;5036;51;14;37;15;Administração, defesa, educação e saúde públicas e seguridade social;21.548,90;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;15/05/2020;184;0,674285714;28/03/2020;232;0,863636364;0,4844;0,481;0,6211;0,5508;0,5346;0,6221;0,0664;0;0,0536;0;0,001;0;0.2425368800092926;0.26516860348913573;2.263172347984313;-0.317445126;-3.1720234300288843;-0.6630460034565332;-0.21190149397960434;-0.1954692564479277;10.848920863309353;1.0134175176961504;Aquidauana - MS;True
Navirai;MS;DR IZAURI;LÉO MATOS;RHAIZA MATOS;56.484;11;5 - 50001 até 100000;5 - Centro-Oeste;MASCULINO;0;DEM;3.585246779;1.57009977;2.015147009;27986;8038;36024;19120;5984;53;17;36;26.309;9858;36167;7493;8873;21;25;-4;-40;Demais serviços;45.633,80;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;27/04/2020;202;0,777142857;23/03/2020;237;0,920454545;0,6595;0,5876;0,8005;0,6906;0,6321;0,7613;0,0311;0;0,0445;0;-0,0392;1;0.2231290250943815;0.2725689164155169;4.943989132113538;2.015147009;-0.4912066458996591;-0.1026766070993655;2.1206906410203956;1.9562383207936924;24.848920863309353;2.3211830942456917;Navirai - MS;True
Nova andradina;MS;GILBERTO GARCIA;ROBERTO HASHIOKA;ROBERTO HASHIOKA;56.057;11;5 - 50001 até 100000;5 - Centro-Oeste;MASCULINO;1;PL;2.561241663;2.741537027;-0.180295363;25620;7824;33444;10172;10145;30;30;0;24.419;8947;33366;11139;9240;33;28;6;6;Demais serviços;45.159,29;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;02/07/2020;136;0,4;24/03/2020;236;0,909090909;0,6461;0,4947;0,7766;0,7391;0,6366;0,8246;0,093;0;0,1419;0;0,048;0;0.2339433082167205;0.26814721572858596;3.420390751186547;-0.180295363;-2.01480502682665;-0.42115339002063384;-0.0747517309796043;-0.06895498940741379;-11.151079136690647;-1.0416426740245577;Nova andradina - MS;True
Tres lagoas;MS;ANGELO GUERREIRO;JORGE MARTINHO;FABRÍCIO VENTUROLI;125.137;12;6 - 100001 até 500000;5 - Centro-Oeste;MASCULINO;1;PSDB;2.159566969;2.112937758;0.046629211;58136;17707;75843;30033;17675;40;23;16;57.810;26163;83973;33331;11606;40;14;26;10;Indústrias de transformação;94.305,67;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;11/05/2020;188;0,697142857;21/03/2020;237;0,920454545;0,6555;0,6203;0,833;0,7307;0,6995;0,8553;0,0752;0;0,0792;0;0,0223;0;0.23346914019751328;0.3115644314243864;7.809529122687311;0.046629211;2.374333344674114;0.49630536147881454;0.1521728430203957;0.14037235848666058;4.848920863309353;0.4529465563177754;Tres lagoas - MS;True
Campo novo do parecis;MT;RAFAEL MACHADO;CLOVIS DE PAULA;PIM;36.917;11;4 - 20001 até 50000;5 - Centro-Oeste;MASCULINO;1;PSL;2.999212616;2.790554462;0.208658154;15815;5003;20818;6337;5356;30;26;5;17.743;7066;24809;6395;5902;26;24;2;-3;Agricultura, inclusive apoio à agricultura e a pós colheita;127.547,83;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;23/03/2020;237;0,920454545;0,6194;0,4922;0,8859;0,6609;0,5176;0,8858;0,0415;0;0,0254;0;-1E-04;1;0.24032087616485734;0.2848159941956548;4.449511803079745;0.208658154;-0.9856839749334521;-0.20603688297624706;0.3142017860203957;0.28983651004333666;-6.151079136690647;-0.5745835395425786;Campo novo do parecis - MT;True
Cuiaba;MT;EMANUEL PINHEIRO;WILSON SANTOS;ABILIO;623.614;13;7 - Maior que 500000;5 - Centro-Oeste;MASCULINO;1;MDB;3.908919125;3.748298818;0.160620307;332438;82660;415098;98051;81531;24;20;4;294.861;83236;378097;82367;90631;22;24;-2;-6;Demais serviços;42.918,31;Sim;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;16/04/2020;213;0,84;20/03/2020;240;0,954545455;0,6975;0,691;0,8765;0,7113;0,6898;0,8726;0,0138;0;-0,0012;1;-0,0039;1;0.19913369854829463;0.2201445660769591;2.101086752866446;0.160620307;-3.334109025146751;-0.6969266504414757;0.2661639390203957;0.24552383410083903;-7.151079136690647;-0.6679953664389744;Cuiaba - MT;True
Juina;MT;ALTIR PERUZZO;DR, EMÍLIO POPULO;PAULO VERONESE;41.190;11;4 - 20001 até 50000;5 - Centro-Oeste;MASCULINO;0;PT;2.08227444;2.088030762;-0.005756322;23630;7660;31290;12187;9088;39;29;10;22.111;9767;31878;8004;12057;25;38;-13;-23;Demais serviços;28.732,52;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;04/04/2020;225;0,784090909;0,61;0,4934;0,7706;0,6847;0,6024;0,7966;0,0747;0;0,109;0;0,026;0;0.24480664749121125;0.3063868498651107;6.158020237389946;-0.005756322;0.7228244593767492;0.15109152866062486;0.09978731002039569;0.09204914475262262;-1.1510791366906474;-0.1075244050605995;Juina - MT;True
Pontes e lacerda;MT;ALCINO BARCELOS;ROMES;INSPETOR ANTONIO;46.105;11;4 - 20001 até 50000;5 - Centro-Oeste;MASCULINO;1;REPUBLICANOS;1.450370127;2.142587833;-0.692217706;22370;5250;27620;11817;7861;43;28;14;21.990;8448;30438;16761;3988;55;13;42;28;Demais serviços;43.762,66;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;22/04/2020;207;0,805714286;20/03/2020;240;0,954545455;0,5845;0,4999;0,7814;0,6075;0,4496;0,8373;0,023;0;-0,0503;1;0,0559;0;0.19007965242577843;0.2775478020894934;8.746814966371499;-0.692217706;3.3116191883583017;0.6922256144214375;-0.5866740739796044;-0.5411795021563534;2.8489208633093526;0.2661229025249838;Pontes e lacerda - MT;True
Sorriso;MT;ARI LAFIN;DILCEU ROSSATO;XUXU DAL MOLIN;94.941;11;5 - 50001 até 100000;5 - Centro-Oeste;MASCULINO;1;PSDB;1.621821871;2.009286557;-0.387464686;41435;11125;52560;21008;17551;40;33;7;43.665;17313;60978;30179;10524;49;17;32;26;Agricultura, inclusive apoio à agricultura e a pós colheita;98.278,56;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;23/03/2020;237;0,920454545;0,6513;0,563;0,911;0,7207;0,6209;0,9422;0,0694;0;0,0579;0;0,0312;0;0.2116628614916286;0.283922070254846;7.22592087632174;-0.387464686;1.7907250983085428;0.37431410767100637;-0.2819210539796043;-0.2600590385819244;-4.151079136690647;-0.3877598857497869;Sorriso - MT;True
Abaetetuba;PA;CHITA;ELTON MAUÉS;FRANCINETI CARVALHO;160.439;12;6 - 100001 até 500000;1 - Norte;MASCULINO;0;MDB;4.676251317;4.584662699;0.091588618;88935;15730;104665;25735;20366;25;19;5;95.032;18629;113661;20615;26153;18;23;-5;-10;Administração, defesa, educação e saúde públicas e seguridade social;10.413,48;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;21/04/2020;208;0,811428571;16/03/2020;244;1;0,3181;0,3049;0,3421;0,3888;0,3381;0,3518;0,0707;0;0,0332;0;0,0097;0;0.15028901734104047;0.16389966655229146;1.3610649211250991;0.091588618;-4.0741308568880985;-0.8516129347108878;0.1971322500203957;0.18184531694289321;-6.151079136690647;-0.5745835395425786;Abaetetuba - PA;True
Braganca;PA;RAIMUNDÃO;EDSON OLIVEIRA;RENATO OLIVEIRA;130.122;12;6 - 100001 até 500000;1 - Norte;MASCULINO;1;PSDB;2.43891794;3.080331286;-0.641413346;67161;8306;75467;27437;22138;36;29;7;67.338;16140;83478;38481;12356;46;15;31;24;Administração, defesa, educação e saúde públicas e seguridade social;10.682,63;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;12/05/2020;187;0,691428571;15/04/2020;214;0,659090909;0,2593;0,2417;0,3567;0,3735;0,3795;0,3555;0,1142;0;0,1378;0;-0,0012;1;0.11006135131911962;0.19334435420110688;8.328300288198726;-0.641413346;2.8931045101855286;0.6047437622625372;-0.5358697139796043;-0.4943148468535045;-4.151079136690647;-0.3877598857497869;Braganca - PA;True
